MOD_MAKER,MOD_MODEL,MOD_POWER,MOD_QNT,INV_MAKER,INV_POWER,INV_QNT,TOTAL_kWh,inv_total_power,kWp,ISF,CITY_IBGE,monocristalline,p_type,monofacial,TC_Isc,TC_Voc,TC_Pmax,module_efficiency,INV_MODEL,inv_max_efficiency,inv_Euro_efficiency,number_of_MPPTs,number_of_DC_inputs,DC_inputs_over_MPPTs,geocodigo,latitude,longitude,diffuse,direct_normal,global_horizontal,tilted_latitude,final_yield,hours_peak_sun,PR_GHI,CUF,total_number_of_MPPTs,total_number_of_DC_inputs,outliers,final_yield_estimated,Tmax_mean,Tmax_median,Tmax_min,Tmax_max,Tmax_sd,Tmax_var,Tmax_sum,Tmax_skew,Tmax_kurt,Tmin_mean,Tmin_median,Tmin_min,Tmin_max,Tmin_sd,Tmin_var,Tmin_sum,Tmin_skew,Tmin_kurt,prec_mean,prec_median,prec_min,prec_max,prec_sd,prec_var,prec_sum,prec_skew,prec_kurt,RH_mean,RH_median,RH_min,RH_max,RH_sd,RH_var,RH_sum,RH_skew,RH_kurt,WS_mean,WS_median,WS_min,WS_max,WS_sd,WS_var,WS_sum,WS_skew,WS_kurt
JINKO,JKM-M-72HL4-V,540,12,GROWATT,8,1,8405.8,8,6.48,0.81,Rolim de Moura,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,20.94,MIN-TL-X,98.1,97.3,2,3,1.5,1100288,-11.722258913380701,-61.78578093518539,2140,3392,4634,4710,1297.1913580246912,1691.41,76.69289870727329,11.994577625570775,2,3,FALSE,1311.2626210469718,33.386375427246094,33.25251007080078,19.26404571533203,39.61012649536133,2.84541654586792,8.096395492553711,12186.02734375,-0.5260751843452454,4.258552074432373,22.096317291259766,22.32322120666504,11.44520378112793,25.792566299438477,1.9760069847106934,3.9046034812927246,8065.15576171875,-1.3589996099472046,6.663136005401611,4.3303632736206055,1.4007996320724487,0,40.89785385131836,6.684950828552246,44.688568115234375,1580.5826416015625,2.526022434234619,10.957775115966797,75.705963134765625,76.3779525756836,52.362205505371094,91.73228454589844,9.657903671264648,93.27510833740234,27632.677734375,-0.3703235685825348,2.0272791385650635,0.949250340461731,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3193894326686859,0.1020096018910408,346.47637939453125,1.2862876653671265,8.110570907592773
JINKO,JKM-M-72HL4-V,540,16,GROWATT,8,1,10483.6,8,8.64,1.08,Novo Horizonte do Oeste,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,20.94,MIN-TL-X,98.1,97.3,2,3,1.5,1100502,-11.7090533333333,-61.9993516666667,2135,3422,4651,4726,1213.3796296296296,1697.615,71.47554832100504,14.95947488584475,2,3,FALSE,1316.0730363594014,33.25819778442383,33.115787506103516,19.076051712036133,39.3366813659668,2.8081042766571045,7.8854498863220215,12139.2431640625,-0.5567557215690613,4.37356424331665,21.980852127075195,22.254859924316406,11.317026138305664,25.536211013793945,1.9613012075424194,3.8467020988464355,8023.01123046875,-1.4190517663955688,6.839119911193848,4.272062301635742,1.338999629020691,0,36.997589111328125,6.41586446762085,41.1633186340332,1559.3028564453125,2.2514169216156006,8.862987518310547,75.77823638916016,76.77165222167969,52.362205505371094,91.73228454589844,9.5806884765625,91.78958892822266,27659.0546875,-0.37287095189094543,2.0387508869171143,0.9500592947006226,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.32050028443336487,0.10272043943405151,346.77166748046875,1.2791173458099365,8.006670951843262
OSDA,ODA-36MH,460,12,GOODWE,4,1,7086.2,4,5.52,1.38,Alta Floresta D'Oeste,TRUE,TRUE,TRUE,0.048,-0.27,-0.35,21.16,GW-BD-NS,97.8,97.5,2,2,1,1100015,-11.9294661111111,-61.9964816666666,2150,3387,4635,4712,1283.731884057971,1691.775,75.88076925465685,20.223173515981735,2,2,FALSE,1311.5455866535851,32.58769607543945,32.40653610229492,18.32407569885254,38.51634216308594,2.773181200027466,7.690534591674805,11894.5087890625,-0.5967870354652405,4.519371509552002,21.277666091918945,21.571245193481445,10.599230766296387,24.75005340576172,1.9806597232818604,3.9230129718780518,7766.34814453125,-1.416190505027771,6.660239219665527,4.497533798217773,1.7441327571868896,0,40.980255126953125,6.788865089416504,46.08869171142578,1641.5997314453125,2.548064708709717,10.939558029174805,75.21302795410156,76.3779525756836,52.362205505371094,91.33858489990234,9.176626205444336,84.2104721069336,27452.755859375,-0.4186716377735138,2.13847017288208,0.9578254818916321,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3164581060409546,0.10014572739601135,349.6062927246094,1.3217777013778687,8.224748611450195
OSDA,ODA-36MH,460,26,GOODWE,10,1,16333.6,10,11.96,1.196,Novo Horizonte do Oeste,TRUE,TRUE,TRUE,0.048,-0.27,-0.35,21.16,GW-MS,97.7,97.3,3,3,1,1100502,-11.7090533333333,-61.9993516666667,2135,3422,4651,4726,1365.6856187290969,1697.615,80.44731100568131,18.645662100456622,3,3,FALSE,1316.0730363594014,33.25819778442383,33.115787506103516,19.076051712036133,39.3366813659668,2.8081042766571045,7.8854498863220215,12139.2431640625,-0.5567557215690613,4.37356424331665,21.980852127075195,22.254859924316406,11.317026138305664,25.536211013793945,1.9613012075424194,3.8467020988464355,8023.01123046875,-1.4190517663955688,6.839119911193848,4.272062301635742,1.338999629020691,0,36.997589111328125,6.41586446762085,41.1633186340332,1559.3028564453125,2.2514169216156006,8.862987518310547,75.77823638916016,76.77165222167969,52.362205505371094,91.73228454589844,9.5806884765625,91.78958892822266,27659.0546875,-0.37287095189094543,2.0387508869171143,0.9500592947006226,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.32050028443336487,0.10272043943405151,346.77166748046875,1.2791173458099365,8.006670951843262
OSDA,ODA-525-550-36V-MH,550,8,GOODWE,5,1,5907.5,5,4.4,0.88,Cacoal,TRUE,TRUE,TRUE,0.045,-0.285,-0.35,21.28,GW-BD-NS,97.8,97.5,2,2,1,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1342.6136363636363,1687.03,79.58445530687874,13.487442922374429,2,2,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
OSDA,ODA-525-550-36V-MH,550,11,GOODWE,5,1,5987.2,5,6.05,1.21,Santa Luzia D'Oeste,TRUE,TRUE,TRUE,0.045,-0.285,-0.35,21.28,GW-BD-NS,97.8,97.5,2,2,1,1100296,-11.907932777777798,-61.77747888888889,2127,3465,4666,4746,989.6198347107438,1703.09,58.10731286724389,13.669406392694064,2,2,FALSE,1320.3175204586037,33.054237365722656,32.910701751708984,18.8196964263916,39.097415924072266,2.802809715270996,7.855742931365967,12064.796875,-0.5739033222198486,4.423735618591309,21.74135398864746,21.998504638671875,11.060670852661133,25.331125259399414,1.988830804824829,3.9554481506347656,7935.59375,-1.3744341135025024,6.568479537963867,4.39327335357666,1.6411328315734863,0,41.52958679199219,6.650291442871094,44.226375579833984,1603.544677734375,2.5792579650878906,11.162006378173828,75.12889862060547,76.3779525756836,51.968502044677734,91.33858489990234,9.250659942626953,85.57470703125,27422.046875,-0.4145897328853607,2.1299149990081787,0.9565311074256897,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3158721923828125,0.09977524727582932,349.13385009765625,1.324853777885437,8.310249328613281
OSDA,ODA-525-550-36V-MH,550,7,GOODWE,5,1,4323,5,3.85,0.77,Cacoal,TRUE,TRUE,TRUE,0.045,-0.285,-0.35,21.28,GW-BD-NS,97.8,97.5,2,2,1,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1122.857142857143,1687.03,66.55822023657805,9.86986301369863,2,2,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
SUNOVA,SS-72MDH,550,9,SAJ,4,1,7048.38,4,4.95,1.2375,Cerejeiras,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,21.28,R5-S2,98.9,97.5,2,2,1,1100056,-13.1944161111111,-60.818653333333295,2081,3744,4767,4861,1423.9151515151516,1739.955,81.83632056663257,20.115239726027397,2,2,FALSE,1348.8970467265674,33.0052375793457,32.910701751708984,17.65755271911621,39.029052734375,2.725074291229248,7.42603063583374,12046.912109375,-0.7978705763816833,5.6283040046691895,21.78091812133789,22.083955764770508,9.88143539428711,26.168554306030273,2.107283115386963,4.4406418800354,7950.03515625,-1.6912381649017334,8.405006408691406,4.650650978088379,1.6342661380767822,0,83.38877868652344,8.180216789245605,66.91594696044922,1697.487548828125,4.23270845413208,31.323326110839844,73.47534942626953,74.80314636230469,50.393699645996094,91.33858489990234,10.290268898010254,105.8896255493164,26818.50390625,-0.31982073187828064,1.9031062126159668,1.0686548948287964,1.0629920959472656,0.29527559876441956,2.657480239868164,0.38369154930114746,0.1472191959619522,390.0590515136719,0.5941879749298096,3.8087639808654785
SUNOVA,SS-66MTF,505,11,GROWATT,5,1,6297,5,5.555,1.111,Cacoal,TRUE,TRUE,TRUE,0.045,-0.28,-0.35,21.27,MIN-2.5-6-TL-X,98.4,97.5,2,2,1,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1133.5733573357336,1687.03,67.1934320869062,14.376712328767125,2,2,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
SUNOVA,SS-66MTF,505,16,GROWATT,8,1,10387.7,8,8.08,1.01,Ji-Paraná,TRUE,TRUE,TRUE,0.045,-0.28,-0.35,21.27,MIN-TL-X,98.1,97.3,2,3,1.5,1100122,-10.882051318349,-61.9450945826841,2145,3295,4606,4668,1285.6064356435645,1681.19,76.47002632918138,14.822631278538815,2,3,FALSE,1303.3395840617936,33.59246826171875,33.45759582519531,19.810937881469727,39.50758361816406,2.7660560607910156,7.651066303253174,12261.2509765625,-0.5216183662414551,4.068358421325684,22.517841339111328,22.76757049560547,12.325357437133789,25.741294860839844,1.849717378616333,3.421454429626465,8219.01171875,-1.5339421033859253,7.197273254394531,4.627811908721924,1.8814661502838135,0,43.80931854248047,6.74141788482666,45.44671630859375,1689.1513671875,2.249336004257202,9.146492004394531,76.528961181640625,77.16535186767578,54.33070755004883,91.73228454589844,9.313651084899902,86.74409484863281,27933.0703125,-0.3270544409751892,2.0028064250946045,0.8036350011825562,0.8267716765403748,0.35433071851730347,2.421259880065918,0.2335071563720703,0.05452559143304825,293.3267822265625,1.6163434982299805,12.21013069152832
